case_id,AMOUNT_REQ,resource,activity,Start_Time,End_Time,REG_DATE
196554,6000,112.0,A_DECLINED,2011-12-29T21:43:20.708,2011-12-29T21:43:20.708,2011-12-29T21:42:45.706
196557,10000,112.0,A_SUBMITTED,2011-12-29T21:48:26.730,2011-12-29T21:48:26.730,2011-12-29T21:48:26.730
196557,10000,112.0,A_PARTLYSUBMITTED,2011-12-29T21:48:26.956,2011-12-29T21:48:26.956,2011-12-29T21:48:26.730
196557,10000,112.0,A_PREACCEPTED,2011-12-29T21:49:09.983,2011-12-29T21:49:09.983,2011-12-29T21:48:26.730
196557,10000,11003.0,W_Completeren aanvraag,2011-12-30T12:23:05.764,2011-12-30T12:37:06.319,2011-12-29T21:48:26.730
196557,10000,10939.0,W_Completeren aanvraag,2011-12-31T15:00:41.816,2011-12-31T15:01:43.288,2011-12-29T21:48:26.730
196557,10000,10932.0,W_Completeren aanvraag,2012-01-02T10:01:24.648,2012-01-02T10:23:29.922,2011-12-29T21:48:26.730
196557,10000,10932.0,A_CANCELLED,2012-01-02T10:23:27.163,2012-01-02T10:23:27.163,2011-12-29T21:48:26.730
196560,7000,112.0,A_SUBMITTED,2011-12-29T21:48:28.232,2011-12-29T21:48:28.232,2011-12-29T21:48:28.232
196560,7000,112.0,A_PARTLYSUBMITTED,2011-12-29T21:48:28.317,2011-12-29T21:48:28.317,2011-12-29T21:48:28.232
196560,7000,112.0,A_PREACCEPTED,2011-12-29T21:49:07.180,2011-12-29T21:49:07.180,2011-12-29T21:48:28.232
196560,7000,11122.0,W_Completeren aanvraag,2011-12-29T21:53:28.405,2011-12-29T21:53:33.047,2011-12-29T21:48:28.232
196560,7000,10861.0,W_Completeren aanvraag,2011-12-30T11:09:27.481,2011-12-30T11:11:21.337,2011-12-29T21:48:28.232
196560,7000,10861.0,W_Completeren aanvraag,2011-12-30T15:00:05.368,2011-12-30T15:01:48.132,2011-12-29T21:48:28.232
196560,7000,11181.0,W_Completeren aanvraag,2011-12-30T19:56:24.755,2011-12-30T19:56:32.415,2011-12-29T21:48:28.232
196560,7000,11181.0,W_Completeren aanvraag,2011-12-30T20:37:21.171,2011-12-30T20:46:43.703,2011-12-29T21:48:28.232
196560,7000,11002.0,W_Completeren aanvraag,2012-01-02T10:06:39.140,2012-01-02T10:09:59.206,2011-12-29T21:48:28.232
196560,7000,11002.0,W_Completeren aanvraag,2012-01-02T10:13:51.211,2012-01-02T10:14:06.811,2011-12-29T21:48:28.232
196560,7000,11179.0,W_Completeren aanvraag,2012-01-02T14:48:06.708,2012-01-02T14:49:04.473,2011-12-29T21:48:28.232
196560,7000,11179.0,W_Completeren aanvraag,2012-01-02T14:49:12.884,2012-01-02T14:49:31.886,2011-12-29T21:48:28.232
196560,7000,11179.0,W_Completeren aanvraag,2012-01-02T17:40:24.670,2012-01-02T17:47:16.332,2011-12-29T21:48:28.232
196560,7000,11179.0,A_DECLINED,2012-01-02T17:47:12.346,2012-01-02T17:47:12.346,2011-12-29T21:48:28.232
196563,49000,112.0,A_SUBMITTED,2011-12-29T21:53:19.308,2011-12-29T21:53:19.308,2011-12-29T21:53:19.308
196563,49000,112.0,A_PARTLYSUBMITTED,2011-12-29T21:53:20.151,2011-12-29T21:53:20.151,2011-12-29T21:53:19.308
196563,49000,11180.0,W_Afhandelen leads,2011-12-29T21:57:30.935,2011-12-29T22:01:50.680,2011-12-29T21:53:19.308
196563,49000,11180.0,A_PREACCEPTED,2011-12-29T22:01:49.488,2011-12-29T22:01:49.488,2011-12-29T21:53:19.308
196563,49000,10909.0,W_Completeren aanvraag,2011-12-30T11:49:35.057,2011-12-30T12:02:24.258,2011-12-29T21:53:19.308
196563,49000,10909.0,A_CANCELLED,2011-12-30T12:02:22.594,2011-12-30T12:02:22.594,2011-12-29T21:53:19.308
